"cell","n","sp","shannon","es","when","simpson"
"8308abfffffffff",907,4,1.0225922633908,3.71217573050493,"before",NA
"834463fffffffff",5,5,1.6094379124341,NA,"before",NA
"83beabfffffffff",14,3,0.75893677276206,NA,"before",NA
"83be75fffffffff",2,1,0,NA,"before",NA
"83be8afffffffff",3,2,0.636514168294813,NA,"before",NA
"836142fffffffff",3,1,0,NA,"before",NA
"839508fffffffff",1,1,0,NA,"before",NA
"839548fffffffff",3,1,0,NA,"before",NA
"836815fffffffff",12,1,0,NA,"before",NA
"836840fffffffff",2,1,0,NA,"before",NA
"839c23fffffffff",387,2,0.0453947781468582,1.34043897220172,"before",NA
"831f2dfffffffff",1550,4,0.456092915586628,2.92010105504064,"before",NA
"834ba8fffffffff",100,1,0,1,"before",NA
"8364e4fffffffff",1,1,0,NA,"before",NA
"838c85fffffffff",4,1,0,NA,"before",NA
"8372dcfffffffff",2,1,0,NA,"before",NA
"837319fffffffff",1,1,0,NA,"before",NA
"834432fffffffff",2,2,0.693147180559945,NA,"before",NA
"839d20fffffffff",5,1,0,NA,"before",NA
"83b542fffffffff",2,1,0,NA,"before",NA
"830886fffffffff",185,3,0.874362915304957,2.97215785949684,"before",NA
"8308f2fffffffff",633,5,0.90576487764383,3.1383868883237,"before",NA
"839d23fffffffff",5,2,0.500402423538188,NA,"before",NA
"839d25fffffffff",1,1,0,NA,"before",NA
"830885fffffffff",1098,5,1.18386022753971,4.25905622826837,"before",NA
"8308a9fffffffff",978,4,1.10369971072699,3.92680987364448,"before",NA
"83616cfffffffff",1,1,0,NA,"before",NA
"836422fffffffff",3,1,0,NA,"before",NA
"839c03fffffffff",106,2,0.160680562041546,1.9260642270351,"before",NA
"839c05fffffffff",5,1,0,NA,"before",NA
"839c40fffffffff",1,1,0,NA,"before",NA
"836522fffffffff",29,1,0,NA,"before",NA
"839434fffffffff",2,1,0,NA,"before",NA
"839d0bfffffffff",1071,2,0.019261439529435,1.13373823865766,"before",NA
"832a4dfffffffff",1,1,0,NA,"before",NA
"839c02fffffffff",4,1,0,NA,"before",NA
"8364cdfffffffff",1,1,0,NA,"before",NA
"839cf1fffffffff",2243,2,0.00388557582953518,1.02229157378725,"before",NA
"83ad35fffffffff",2,1,0,NA,"before",NA
"8330e8fffffffff",6,1,0,NA,"before",NA
"83bb50fffffffff",14,1,0,NA,"before",NA
"83be8cfffffffff",1,1,0,NA,"before",NA
"83dab3fffffffff",10,1,0,NA,"before",NA
"8395a5fffffffff",3,1,0,NA,"before",NA
"836866fffffffff",1,1,0,NA,"before",NA
"836875fffffffff",1,1,0,NA,"before",NA
"836426fffffffff",19,1,0,NA,"before",NA
"839d01fffffffff",55,1,0,1,"before",NA
"8364ddfffffffff",3,1,0,NA,"before",NA
"839d1dfffffffff",4,1,0,NA,"before",NA
"830890fffffffff",34,1,0,NA,"before",NA
"8308f0fffffffff",3,2,0.636514168294813,NA,"before",NA
"83bf4dfffffffff",1,1,0,NA,"before",NA
"831f2efffffffff",342,2,0.268948019278913,1.9861788301786,"before",NA
"831943fffffffff",2,1,0,NA,"before",NA
"836113fffffffff",1,1,0,NA,"before",NA
"839f55fffffffff",17,1,0,NA,"before",NA
"838d8afffffffff",1,1,0,NA,"before",NA
"838d8efffffffff",4,1,0,NA,"before",NA
"839c19fffffffff",9,1,0,NA,"before",NA
"839c25fffffffff",35,1,0,NA,"before",NA
"83648dfffffffff",1,1,0,NA,"before",NA
"83846cfffffffff",1,1,0,NA,"before",NA
"838cf5fffffffff",3,1,0,NA,"before",NA
"839cf5fffffffff",42,1,0,NA,"before",NA
"83731bfffffffff",2,1,0,NA,"before",NA
"839e2dfffffffff",2,1,0,NA,"before",NA
"830893fffffffff",5,1,0,NA,"before",NA
"831959fffffffff",3,1,0,NA,"before",NA
"8308a8fffffffff",421,6,1.3299184276639,4.99744175379267,"before",NA
"8308f1fffffffff",658,6,1.13931072429296,5.38119371271535,"before",NA
"83bedafffffffff",1,1,0,NA,"before",NA
"8343acfffffffff",2,1,0,NA,"before",NA
"836829fffffffff",55,1,0,1,"before",NA
"83686efffffffff",1,1,0,NA,"before",NA
"8368f2fffffffff",1,1,0,NA,"before",NA
"836576fffffffff",1,1,0,NA,"before",NA
"836585fffffffff",1,1,0,NA,"before",NA
"839c71fffffffff",2,1,0,NA,"before",NA
"8330eefffffffff",5,1,0,NA,"before",NA
"833a50fffffffff",2,1,0,NA,"before",NA
"839d52fffffffff",1,1,0,NA,"before",NA
"8308f6fffffffff",272,4,1.18888223162445,3.91741137237532,"before",NA
"83190efffffffff",32,1,0,NA,"before",NA
"831940fffffffff",10,1,0,NA,"before",NA
"831f23fffffffff",1,1,0,NA,"before",NA
"832d2cfffffffff",8,1,0,NA,"before",NA
"83194dfffffffff",2,1,0,NA,"before",NA
"83bb09fffffffff",1,1,0,NA,"before",NA
"83bb0cfffffffff",1,1,0,NA,"before",NA
"83bb70fffffffff",1,1,0,NA,"before",NA
"83be8bfffffffff",7,2,0.682908104700472,NA,"before",NA
"83be88fffffffff",22,2,0.655481773901393,NA,"before",NA
"8308aefffffffff",543,5,1.44457707457881,4.81095574032025,"before",NA
"8308c6fffffffff",1606,6,1.09493636662695,5.60148233348535,"before",NA
"836415fffffffff",1,1,0,NA,"before",NA
"83a39dfffffffff",1,1,0,NA,"before",NA
"836841fffffffff",3,1,0,NA,"before",NA
"836846fffffffff",4,1,0,NA,"before",NA
"836914fffffffff",1,1,0,NA,"before",NA
"836433fffffffff",2,1,0,NA,"before",NA
"836489fffffffff",2,1,0,NA,"before",NA
"838c32fffffffff",2,1,0,NA,"before",NA
"838c99fffffffff",5,1,0,NA,"before",NA
"839cf3fffffffff",87,1,0,1,"before",NA
"839d05fffffffff",26,1,0,NA,"before",NA
"83456dfffffffff",3,3,1.09861228866811,NA,"before",NA
"83464dfffffffff",1,1,0,NA,"before",NA
"8361b3fffffffff",1,1,0,NA,"before",NA
"831f2afffffffff",8,1,0,NA,"before",NA
"832d72fffffffff",20,1,0,NA,"before",NA
"830896fffffffff",60,2,0.0847660757148099,1.83333333333334,"before",NA
"830e4dfffffffff",30,1,0,NA,"before",NA
"831f64fffffffff",343,3,0.413637436325065,2.14537019526567,"before",NA
"83bb29fffffffff",7,1,0,NA,"before",NA
"839f51fffffffff",9,1,0,NA,"before",NA
"836945fffffffff",19,1,0,NA,"before",NA
"839c1dfffffffff",22,1,0,NA,"before",NA
"839caefffffffff",7,1,0,NA,"before",NA
"839cf0fffffffff",209,1,0,1,"before",NA
"83942cfffffffff",1,1,0,NA,"before",NA
"839c18fffffffff",1,1,0,NA,"before",NA
"8364c8fffffffff",1,1,0,NA,"before",NA
"8364cefffffffff",1,1,0,NA,"before",NA
"830898fffffffff",301,3,0.603267383450879,2.42129885932251,"before",NA
"831e4bfffffffff",1,1,0,NA,"before",NA
"831f54fffffffff",14,2,0.651756561172653,NA,"before",NA
"83da84fffffffff",3,1,0,NA,"before",NA
"83da85fffffffff",1,1,0,NA,"before",NA
"83da90fffffffff",1,1,0,NA,"before",NA
"83daaafffffffff",2,1,0,NA,"before",NA
"8361adfffffffff",2,1,0,NA,"before",NA
"83950dfffffffff",2,1,0,NA,"before",NA
"839513fffffffff",2,1,0,NA,"before",NA
"836505fffffffff",2,1,0,NA,"before",NA
"836529fffffffff",2,1,0,NA,"before",NA
"836570fffffffff",2,1,0,NA,"before",NA
