"eov","cell","n","sp","shannon","simpson","es"
"fish","842a493ffffffff",7,7,1.94591014905531,0.142857142857143,NA
"fish","842a495ffffffff",1,1,0,1,NA
"fish","842a4b1ffffffff",1,1,0,1,NA
"fish","842a4b3ffffffff",237,127,4.81436743914426,0.00831419466253627,45.014518350335
"fish","842a4b7ffffffff",5,5,1.6094379124341,0.2,NA
"fish","842a4b9ffffffff",9,1,0,1,NA
"fish","842ac91ffffffff",33,1,0,1,NA
"fish","842ac93ffffffff",3,3,1.09861228866811,0.333333333333333,NA
"fish","842ac95ffffffff",2,2,0.693147180559945,0.5,NA
"fish","842ac9bffffffff",4,4,1.38629436111989,0.25,NA
"fish","842ac9dffffffff",5,5,1.6094379124341,0.2,NA
"fish","842aca3ffffffff",5,5,1.6094379124341,0.2,NA
"fish","842acb1ffffffff",5,5,1.6094379124341,0.2,NA
"fish","842acb3ffffffff",2,2,0.693147180559945,0.5,NA
"fish","842acb5ffffffff",4,4,1.38629436111989,0.25,NA
"fish","842acb7ffffffff",3,3,1.09861228866811,0.333333333333333,NA
"fish","842acbdffffffff",1,1,0,1,NA
"fish","842ad97ffffffff",18,7,1.83102048111352,0.17283950617284,NA
"fish","842adb3ffffffff",67,10,1.65874390858489,0.282245488973045,9.14580013851313
"fish","842adb7ffffffff",39,10,1.93264998977094,0.192636423405654,NA
"fish","842adbbffffffff",27,6,1.35098908323149,0.325102880658436,NA
"fish","843a965ffffffff",117,22,2.67334138910724,0.0965008400905837,17.4494611229434
"fish","843b921ffffffff",1,1,0,1,NA
"fish","843b923ffffffff",3,3,1.09861228866811,0.333333333333333,NA
"fish","843b925ffffffff",1,1,0,1,NA
"fish","843b931ffffffff",1,1,0,1,NA
"fish","843b937ffffffff",2,2,0.693147180559945,0.5,NA
"fish","843b93dffffffff",10,1,0,1,NA
"fish","8444001ffffffff",195,12,1.81332936383144,0.21767258382643,8.74142375942626
"fish","8444003ffffffff",274,13,1.99698450375988,0.169881187063775,9.30115174709516
"fish","8444005ffffffff",435,62,2.78917626310304,0.136900515259612,18.5539799371308
"fish","8444007ffffffff",353,14,1.85896341985563,0.207408774647096,8.70530379203482
"fish","8444009ffffffff",82,7,1.7741049118897,0.185603807257585,6.84297111012498
"fish","844400bffffffff",189,12,1.96528758997441,0.172923490383808,9.06841204970003
"fish","844400dffffffff",299,12,1.66010909872026,0.255690652229841,7.20715831095221
"fish","8444011ffffffff",342,22,1.80970510088114,0.257429636469341,9.23808247971837
"fish","8444013ffffffff",182,11,1.78960002571416,0.232882502113271,8.39644356889812
"fish","8444015ffffffff",180,27,2.24369344606976,0.178765432098765,13.9139077089974
"fish","8444017ffffffff",114,16,1.98819469653222,0.203447214527547,11.3878797619285
"fish","8444019ffffffff",161,13,1.90354953144119,0.199876547972686,9.29009476967795
"fish","844401bffffffff",131,9,1.81615664232122,0.205757240254064,8.06347253772481
"fish","844401dffffffff",241,13,1.88761138424008,0.190716413284895,8.54778901186484
"fish","8444021ffffffff",65,15,1.98814330003171,0.193372781065089,12.6418176797986
"fish","8444023ffffffff",93,52,3.70899535404994,0.0320268239102786,34.0266877010877
"fish","8444025ffffffff",175,87,4.18815938173101,0.0206040816326531,37.4062403600675
"fish","8444027ffffffff",210,78,4.03194445679726,0.0236281179138322,34.3922793410377
"fish","8444029ffffffff",386,123,3.70568111331189,0.0906333055920963,28.91214134726
"fish","844402bffffffff",207,53,2.72348474258664,0.13752946393148,18.4265860032893
"fish","844402dffffffff",194,81,4.02631283855164,0.0240726963545542,34.2422939865297
"fish","8444031ffffffff",627,293,4.40225404875188,0.0638848825703522,32.2458559146566
"fish","8444033ffffffff",386,48,2.37974358122368,0.18247469730731,14.4339521014253
"fish","8444035ffffffff",246,65,3.62005215256078,0.0460374115936281,28.5673878782172
"fish","8444037ffffffff",743,591,5.9961709477383,0.00966037435082756,45.3755222017927
"fish","8444039ffffffff",420,23,1.93795590230354,0.214909297052154,9.93449608398046
"fish","844403bffffffff",308,16,1.80118315024371,0.241503626243886,9.3550445950731
"fish","844403dffffffff",431,117,3.66338383661262,0.0709998331189001,27.3791381805066
"fish","8444041ffffffff",37,12,2.02937365009308,0.193571950328707,NA
"fish","8444043ffffffff",29,6,1.39726674883915,0.312722948870392,NA
"fish","8444045ffffffff",62,15,2.02771467341661,0.211758584807492,13.5055359657769
"fish","8444047ffffffff",61,11,1.91395790022121,0.193227626981994,10.2434085896906
"fish","8444049ffffffff",22,13,2.30275924665936,0.132231404958678,NA
"fish","844404bffffffff",102,22,2.03505138737529,0.254709727028066,14.1465556461431
"fish","844404dffffffff",71,25,2.47935578495602,0.158103550882761,19.8373477649563
"fish","8444051ffffffff",68,17,2.25001533083188,0.146193771626298,14.2692921855003
"fish","8444053ffffffff",150,14,1.96891763994403,0.177422222222222,9.42839140394755
"fish","8444055ffffffff",101,11,1.80511847511134,0.216351338104107,9.11011712989554
"fish","8444057ffffffff",162,12,1.92656817174696,0.172687090382564,8.4364529245263
"fish","8444059ffffffff",36,18,2.55212303054535,0.106481481481481,NA
"fish","844405bffffffff",70,7,1.72102177005771,0.197551020408163,6.7077205606807
"fish","844405dffffffff",96,8,1.55880298273986,0.257378472222222,6.55855436760658
"fish","8444061ffffffff",583,37,1.91367716519667,0.269155518419249,10.5113384636856
"fish","8444063ffffffff",537,48,2.25034544164347,0.212176066081999,13.4320624355392
"fish","8444065ffffffff",923,161,3.50069086320515,0.10493480090477,24.4539561366342
"fish","8444067ffffffff",694,92,2.77054314388424,0.191567906053534,19.0044508475407
"fish","8444069ffffffff",86,39,3.08184894105892,0.0911303407247161,26.5141004889962
"fish","844406bffffffff",66,8,1.54529352279774,0.294765840220386,7.45861587403146
"fish","844406dffffffff",227,19,1.86746834012006,0.223039453511615,9.50923413164725
"fish","8444081ffffffff",536,59,2.47399364720819,0.157468255736244,14.0935390163651
"fish","8444083ffffffff",430,81,3.11105433611165,0.0963115197404002,20.8677540731219
"fish","8444085ffffffff",754,44,2.3071750623088,0.152822435956068,12.1427711609694
"fish","8444087ffffffff",542,102,2.99450092360297,0.194400947699514,22.3236641986691
"fish","8444089ffffffff",1371,23,2.05631767988837,0.179511406699471,9.78342511661046
"fish","844408bffffffff",1100,53,2.15918223491173,0.178565289256198,10.5563581136652
"fish","844408dffffffff",2155,25,1.99928887519505,0.198916026507179,9.76469888947905
"fish","8444091ffffffff",1426,75,2.44367699634402,0.151080219289532,13.0819958758952
"fish","8444093ffffffff",1651,366,4.87249422611835,0.0269392373104273,36.5524575045192
"fish","8444095ffffffff",667,81,2.7079774158089,0.136777937867648,16.2380158451909
"fish","8444097ffffffff",1022,117,2.8185224680374,0.171129476373023,18.1658976691701
"fish","8444099ffffffff",941,63,2.24775958442445,0.185726175942793,11.8310851717336
"fish","844409bffffffff",1974,232,3.25404254360272,0.130191476016995,20.7807202315117
"fish","844409dffffffff",716,84,2.67555080445977,0.143636278518149,15.9055294600058
"fish","84440a1ffffffff",396,73,2.71828347743505,0.204787776757474,19.6465999735699
"fish","84440a3ffffffff",400,106,4.18491219884893,0.021925,34.2596012789911
"fish","84440a5ffffffff",431,145,4.49746287855018,0.0179639429158973,37.5050527126534
"fish","84440a7ffffffff",264,109,4.40779668975972,0.0164715335169881,38.6053148457186
"fish","84440a9ffffffff",271,30,1.93135094308453,0.246306559006549,10.4200026229333
"fish","84440abffffffff",863,53,1.75780902433883,0.396338999072196,11.3801830990012
"fish","84440adffffffff",332,57,2.18657161080909,0.28814051386268,14.8450410086725
"fish","84440b1ffffffff",331,81,2.61503281780939,0.245497941785854,19.1996316004995
"fish","84440b3ffffffff",411,119,4.12490996209254,0.0335127071234483,33.2084637402275
"fish","84440b5ffffffff",249,96,3.96436461481877,0.039821938355833,32.6671792618408
"fish","84440b7ffffffff",503,162,4.68626013187243,0.01296001328016,39.5746577564834
"fish","84440b9ffffffff",527,84,2.69341036317361,0.216509619089112,19.0300380742433
"fish","84440bbffffffff",606,87,2.9672586405732,0.131326994085547,20.2511357752305
"fish","84440bdffffffff",493,71,2.46104390496132,0.243337763167098,16.9751772771733
"fish","84440c1ffffffff",487,23,1.9951935396404,0.20623690279927,9.94108424368983
"fish","84440c3ffffffff",603,16,1.85717086109576,0.222400985674172,8.73276971273075
"fish","84440c5ffffffff",286,16,2.00145287385792,0.200523252970805,10.1789989886652
"fish","84440c7ffffffff",746,23,2.04453296814048,0.186991928354261,9.95324274130171
"fish","84440c9ffffffff",241,17,2.03551682525116,0.181246879358138,10.0532912941271
"fish","84440cbffffffff",272,17,1.99399610876645,0.187743295847751,9.68218700074307
"fish","84440cdffffffff",151,10,1.8571377449154,0.202403403359502,8.38034769086595
