"group","res","area_km2","n_cells","n_cells_all","frac_cells_all","records","median_n","q25_n","q75_n","frac_eligible","median_es","median_sp","median_sp_elig","frac_n_ge_10","frac_n_ge_30","frac_n_ge_100"
"all taxa",1,609788.442,842,842,1,127329658,10427.5,2324.75,43667.25,0.985748218527316,31.9287748650843,554.5,569.5,0.995249406175772,0.989311163895487,0.972684085510689
"all taxa",2,86801.78,5799,5799,1,127329658,707,123,3683,0.846697706501121,25.8417361107033,80,109,0.949646490774271,0.890843248836006,0.774443869632695
"all taxa",3,12393.435,36893,36893,1,127329658,65,11,380,0.541918521128669,21.589338214473,15,49,0.76467080475971,0.614940503618573,0.436668202640067
"all taxa",4,1770.348,182038,182038,1,127329658,13,3,66,0.288846284841626,20.4546643864781,4,36,0.546797921313132,0.362946198046562,0.19931552752722
"all taxa",5,252.904,657311,657311,1,127329658,5,1,20,0.148547643352994,21.8687362046375,2,38,0.365122445843748,0.199616315564474,0.101086091667415
"all taxa",6,36.129,1805298,1805298,1,127329658,2,1,10,0.0990916735076425,19.9552628291219,1,32,0.250197474322799,0.135312840317776,0.0633474362681397
"all taxa",7,5.161,3792953,3792953,1,127329658,2,1,7,0.0664827642209118,15.9958555595571,1,23,0.207566769216492,0.0965158281687118,0.0409527879728539
"fish",1,609788.442,830,842,0.985748218527316,49347730,947,118,8631.75,0.836144578313253,29.639498434077,109.5,152,0.933734939759036,0.87710843373494,0.772289156626506
"fish",2,86801.78,4912,5799,0.847042593550612,49347730,71,11,609,0.554560260586319,25.4713692388478,20,66,0.771376221498371,0.623371335504886,0.454193811074919
"fish",3,12393.435,21481,36893,0.582251375599707,49347730,17,3,119,0.344816349331968,21.9864253393665,7,48,0.588659745821889,0.416228294772124,0.269214654811229
"fish",4,1770.348,66094,182038,0.363078038651271,49347730,10,2,59,0.26934366205707,20.4269987629798,4,40,0.508321481526311,0.334977456350047,0.201864011861894
"fish",5,252.904,170687,657311,0.259674644118233,49347730,8,2,45,0.240158887320065,18.4256592558091,4,31,0.470680250985722,0.301540246181607,0.172608341584303
"fish",6,36.129,391413,1805298,0.216813512229006,49347730,7,2,33,0.197126820008533,15.1341708138454,4,22,0.45472429377665,0.265113831170656,0.129262441462087
