"group","res","area_km2","n_cells_effort","effort_records","median_effort","frac_present","median_spue","frac_effort_lt_10","frac_effort_lt_30","frac_effort_lt_100"
"humpback / Cetacea",1,609788.442,28,94821,252.5,0.642857142857143,0.00644221191125989,0.0714285714285714,0.107142857142857,0.321428571428571
"humpback / Cetacea",2,86801.78,125,94821,42,0.512,0.000369071784462078,0.328,0.456,0.64
"humpback / Cetacea",3,12393.435,527,94821,9,0.286527514231499,0,0.523719165085389,0.736242884250474,0.893738140417457
"humpback / Cetacea",4,1770.348,1854,94821,3,0.158576051779935,0,0.775080906148867,0.913160733549083,0.964401294498382
"humpback / Cetacea",5,252.904,4662,94821,2,0.102102102102102,0,0.897254397254397,0.959244959244959,0.986486486486487
"humpback / Cetacea",6,36.129,8911,94821,1,0.084502300527438,0,0.932891931320839,0.978004713275727,0.994501178318932
"humpback / Cetacea",7,5.161,13983,94821,1,0.0869627404705714,0,0.95744833011514,0.989058142029607,0.996066652363584
"loggerhead / seaTurtles EOV",1,609788.442,29,29926,209,0.793103448275862,0.22372528616025,0.137931034482759,0.172413793103448,0.344827586206897
"loggerhead / seaTurtles EOV",2,86801.78,143,29926,35,0.72027972027972,0.142857142857143,0.27972027972028,0.447552447552448,0.699300699300699
"loggerhead / seaTurtles EOV",3,12393.435,683,29926,6,0.541727672035139,0.0625,0.609077598828697,0.834553440702782,0.938506588579795
"loggerhead / seaTurtles EOV",4,1770.348,1903,29926,3,0.400945874934314,0,0.814503415659485,0.943772990015765,0.975302154492906
"loggerhead / seaTurtles EOV",5,252.904,4184,29926,2,0.334130019120459,0,0.911089866156788,0.966778202676864,0.991156787762906
"loggerhead / seaTurtles EOV",6,36.129,7584,29926,1,0.332674050632911,0,0.947521097046414,0.98589135021097,0.998022151898734
"loggerhead / seaTurtles EOV",7,5.161,11761,29926,1,0.349970240625797,0,0.973641697134597,0.996173794745345,0.999404812515942
