"cell","spue","effort","target"
"854895c3fffffff",0,24,0
"8549922ffffffff",0,2,0
"854c8037fffffff",0,1,0
"85450b0bfffffff",0,13,0
"85451a93fffffff",0,1,0
"8545498bfffffff",0,3,0
"8545594bfffffff",0,1,0
"85455a47fffffff",0,3,0
"85455b4bfffffff",0,1,0
"85455bd3fffffff",0,2,0
"854566c7fffffff",0.0416666666666667,24,1
"8544094ffffffff",0,12,0
"85440957fffffff",0,16,0
"8544096ffffffff",0,4,0
"85440c0bfffffff",0,1,0
"85440d23fffffff",0,6,0
"85440d83fffffff",0,5,0
"85440e33fffffff",0,3,0
"85440e67fffffff",0,2,0
"85440e93fffffff",0,4,0
"8544629bfffffff",0,24,0
"85446453fffffff",0,15,0
"85446587fffffff",0,52,0
"854465d7fffffff",0,4,0
"8544667bfffffff",0.027027027027027,37,1
"854466abfffffff",0,17,0
"854466cbfffffff",0,3,0
"8544700bfffffff",0,408,0
"854470cffffffff",0,28,0
"85447287fffffff",0,84,0
"8544742bfffffff",0,6,0
"85447607fffffff",0,5,0
"8544762bfffffff",0,3,0
"8544762ffffffff",0,10,0
"85663373fffffff",0,3,0
"8566a18ffffffff",0,5,0
"8566b003fffffff",0.444444444444444,18,8
"8566b0affffffff",0.111111111111111,9,1
"8566b0b7fffffff",0.304347826086957,23,7
"8566b0cbfffffff",0,3,0
"8566b0dbfffffff",0.111111111111111,9,1
"856c06b7fffffff",0,2,0
"856c236ffffffff",0,3,0
"856c2483fffffff",0,2,0
"856c25abfffffff",0,2,0
"856c265bfffffff",0,3,0
"856c2d0bfffffff",0,6,0
"856c358bfffffff",0,1,0
"856d016bfffffff",0,3,0
"856d0193fffffff",0,4,0
"856d01d3fffffff",0,2,0
"856d0563fffffff",0,3,0
"856d0ba3fffffff",0,3,0
"856d0d8bfffffff",0,4,0
"856d0d8ffffffff",0,3,0
"856d0e0bfffffff",0,2,0
"856d0e4bfffffff",0,2,0
"856d1083fffffff",0,3,0
"856d108bfffffff",0,3,0
"856d108ffffffff",0,3,0
"856d1097fffffff",0,4,0
"856d11a3fffffff",0,2,0
"856d1337fffffff",0,3,0
"856d139bfffffff",0,2,0
"856d143bfffffff",0,6,0
"856d144ffffffff",0,7,0
"856d1963fffffff",0,2,0
"856d1ab3fffffff",0,2,0
"856d1adbfffffff",0,3,0
"856d1bc3fffffff",0,2,0
"856d1e2ffffffff",0,2,0
"856d2b2bfffffff",0,4,0
"856d51d3fffffff",0,2,0
"856d545bfffffff",0,4,0
"856d560ffffffff",0,4,0
"856d5d9bfffffff",0,2,0
"856d6223fffffff",0,1,0
"856d625bfffffff",0,19,0
"856d6a8bfffffff",0,3,0
"856d7263fffffff",0,4,0
"856d730ffffffff",0,3,0
"856d7343fffffff",0,2,0
"856d7637fffffff",0,3,0
"856d7647fffffff",0,5,0
"856da907fffffff",0,2,0
"856dad73fffffff",0,6,0
"8544854ffffffff",0,2,0
"85448617fffffff",0,71,0
"854488cffffffff",0,1,0
"85440047fffffff",0,2,0
"85440113fffffff",0,1,0
"8544030ffffffff",0.04,25,1
"8544044bfffffff",0,1,0
"8544062ffffffff",0,3,0
"854408b3fffffff",0,3,0
"85440903fffffff",0,7,0
"8544090ffffffff",0,4,0
"854d4a1bfffffff",0.6,5,3
"855e432bfffffff",0,65,0
"855e432ffffffff",0.0975609756097561,41,4
"855e460ffffffff",0.15,20,3
"85661243fffffff",0,1,0
"8566127bfffffff",0,2,0
"8544282ffffffff",0,1,0
"85442867fffffff",0,3,0
"85442b0ffffffff",0,1,0
"85443333fffffff",0,4,0
"8548940ffffffff",0,23,0
"85489437fffffff",0,25,0
"854c9e57fffffff",0,1,0
"8566b037fffffff",0,1,0
"8566b077fffffff",0,2,0
"856c2537fffffff",0,1,0
"856d401bfffffff",0,3,0
"856d41affffffff",0,2,0
"856d4d57fffffff",0,3,0
"856d4e0bfffffff",0,2,0
"856d4e57fffffff",0,2,0
"856d5887fffffff",0,3,0
"856d6b53fffffff",0,1,0
"85448477fffffff",0,2,0
"854486abfffffff",0.0666666666666667,15,1
"85661563fffffff",0,2,0
"85443257fffffff",0.166666666666667,6,1
"854c8577fffffff",0,1,0
"854cc1c3fffffff",0,1,0
"854cc1d7fffffff",0,1,0
"85441e0ffffffff",0,385,0
"85454aaffffffff",0,7,0
"85446517fffffff",0,3,0
"8544708ffffffff",0,30,0
"85447237fffffff",0,6,0
"85676927fffffff",0,2,0
"856d06a3fffffff",0,1,0
"856d0a97fffffff",0,1,0
"856d0bd3fffffff",0,1,0
"856d432ffffffff",0,4,0
"856d5013fffffff",0,2,0
"856d5633fffffff",0,2,0
"85448673fffffff",0,6,0
"855f590ffffffff",0,2,0
"85454923fffffff",0,8,0
"85458983fffffff",0.5,2,1
"85459813fffffff",0,4,0
"854598b7fffffff",0,6,0
"85489093fffffff",0,4,0
"8544092ffffffff",0,8,0
"8544156ffffffff",0,3,0
"85446403fffffff",0,19,0
"8544724ffffffff",0,2,0
"856c0593fffffff",0,2,0
"856c2e37fffffff",0,2,0
"856d01a3fffffff",0,5,0
"856d09a3fffffff",0,2,0
"856d0d6ffffffff",0,2,0
"856d444ffffffff",0,1,0
"856d4883fffffff",0,4,0
"856d4e73fffffff",0,4,0
"856d5033fffffff",0,8,0
"856d5643fffffff",0,1,0
"856d5ec3fffffff",0,4,0
"856d72affffffff",0,3,0
"856d7643fffffff",0,3,0
"8544768ffffffff",0,3,0
"854486c3fffffff",0,11,0
"85448daffffffff",0,14,0
"8544038bfffffff",0,4,0
"854403b7fffffff",0,1,0
"85440557fffffff",0,1,0
"85440643fffffff",0,4,0
"85440803fffffff",0,1,0
"855e4837fffffff",0,1,0
"855f5aaffffffff",0,2,0
"8544f2d3fffffff",0,48,0
"854890cffffffff",0,1,0
"85489213fffffff",0,1,0
"854892bbfffffff",0,1,0
"85489483fffffff",0,1,0
"8549930bfffffff",0,10,0
"854c949bfffffff",0,1,0
"854554cffffffff",0,5,0
"8545726ffffffff",0,1,0
"85489017fffffff",0,1,0
"85489053fffffff",0,3,0
"8548909bfffffff",0,1,0
"85440ab7fffffff",0,2,0
"85440b2ffffffff",0,4,0
"85440b47fffffff",0,1,0
"85441037fffffff",0,3,0
"85441073fffffff",0,1,0
"8544109bfffffff",0,1,0
"854410b7fffffff",0,2,0
