"cell","spue","effort","target","sdm","bin"
"850151b3fffffff",0.0652173913043478,46,3,100,2
"85017607fffffff",0.333333333333333,30,10,100,3
"8501761bfffffff",0.454545454545455,33,15,100,3
"8508e9affffffff",0.777777777777778,36,28,100,4
"8509164bfffffff",0,38,0,100,0
"8509164ffffffff",0,38,0,100,0
"8509a53bfffffff",0,42,0,100,0
"8509a6a3fffffff",0.00699300699300699,715,5,100,1
"850f2c87fffffff",0,78,0,100,0
"85180113fffffff",0.0412844036697248,218,9,100,2
"8518011bfffffff",0.0980113636363636,704,69,100,2
"85180123fffffff",0.153846153846154,52,8,100,3
"85184c27fffffff",0,490,0,100,0
"8519296bfffffff",0.00675675675675676,444,3,100,1
"85192ab7fffffff",0.00137931034482759,725,1,100,1
"85192b63fffffff",0.00252525252525253,3960,10,100,1
"85192b6ffffffff",0,438,0,100,0
"851973bbfffffff",0.00485436893203883,206,1,100,1
"85197623fffffff",0.0229885057471264,87,2,100,1
"8528db97fffffff",1,55,55,100,5
"852a11d3fffffff",0,63,0,100,0
"852a1523fffffff",0.0365853658536585,82,3,100,2
"852a1537fffffff",0.0208333333333333,48,1,100,1
"852a15affffffff",0.109756097560976,82,9,100,2
"852a1b6bfffffff",0,41,0,100,0
"852a3507fffffff",0.064,125,8,100,2
"852a3547fffffff",0.072463768115942,138,10,100,2
"852a3573fffffff",0.0431654676258993,139,6,100,2
"852a35bbfffffff",0.0289855072463768,69,2,100,1
"852aa937fffffff",0.0238095238095238,42,1,100,1
"852b0e17fffffff",0.0701754385964912,57,4,100,2
"852b166bfffffff",0.515463917525773,194,100,100,3
"852b1877fffffff",0.0892857142857143,168,15,100,2
"852b1897fffffff",0.047244094488189,1397,66,100,2
"852b18b7fffffff",0.607244995233556,1049,637,100,4
"852b1903fffffff",0.387096774193548,31,12,100,3
"852b19dbfffffff",0.632432432432432,185,117,100,4
"852b1b07fffffff",0.0354838709677419,310,11,100,1
"852b1b63fffffff",0.234567901234568,81,19,100,3
"8534267bfffffff",0.00814995925020375,6135,50,100,1
"853436d7fffffff",0.0111111111111111,90,1,100,1
"85464873fffffff",0.0606060606060606,33,2,100,2
"8546494bfffffff",0.740740740740741,81,60,100,4
"85464bb3fffffff",0.0526315789473684,38,2,100,2
"854b1baffffffff",1,108,108,100,5
"85893427fffffff",0.634361233480176,227,144,100,4
"8594ad77fffffff",0.666666666666667,30,20,100,4
"85a221c3fffffff",1,55,55,100,5
"85a25083fffffff",0.963636363636364,55,53,100,5
"85be292bfffffff",0.943820224719101,267,252,100,4
"85bf4c4bfffffff",1,31,31,100,5
"85bf4e03fffffff",0.878787878787879,33,29,100,4
"85bf5b7bfffffff",1,34,34,100,5
"85de9437fffffff",0,43,0,100,0
"85de9543fffffff",0.211009174311927,109,23,100,3
"85df04cffffffff",1,37,37,100,5
"85df06c7fffffff",0.96875,32,31,100,5
"85df11d7fffffff",0.318840579710145,69,22,100,3
"85e89b23fffffff",0.98936170212766,94,93,100,5
"85e89b33fffffff",1,37,37,100,5
"85e89b83fffffff",1,44,44,100,5
"85e89eb7fffffff",0.903225806451613,31,28,100,4
"85068937fffffff",0.0681818181818182,44,3,100,2
"85083547fffffff",0,35,0,100,0
"85095d2ffffffff",0,43,0,100,0
"85186a47fffffff",0,439,0,100,0
"851870d7fffffff",0,316,0,100,0
"85190127fffffff",0.0140845070422535,213,3,100,1
"8519415bfffffff",0,68,0,100,0
"85195663fffffff",0.00995024875621891,201,2,100,1
"8519593bfffffff",0,35,0,100,0
"85195a0ffffffff",0,64,0,100,0
"852806bbfffffff",0.176470588235294,102,18,100,3
"85281947fffffff",0.848484848484849,33,28,100,4
"8528194ffffffff",0.888888888888889,54,48,100,4
"85281bb7fffffff",0.772727272727273,88,68,100,4
"85283097fffffff",0.612529002320186,431,264,100,4
"85283113fffffff",0.422222222222222,90,38,100,3
"8528f58ffffffff",0.00297619047619048,336,1,100,1
"85291233fffffff",0.591549295774648,142,84,100,4
"85291257fffffff",0.0681818181818182,44,3,100,2
"852a0433fffffff",0.182926829268293,82,15,100,3
"852a048bfffffff",0.330917874396135,828,274,100,3
