"eov","period","cells","cells_reliable","records","median_es"
"fish",1960,476,97,19309,38.5497349451948
"fish",1970,347,90,44497,36.4864815360382
"fish",1980,251,67,295539,23.8706761492466
"fish",1990,564,240,741988,9.52501699177065
"fish",2000,482,214,1901917,11.1279256473214
"fish",2010,292,69,2160115,28.3763197586727
"fish",2020,32,19,105090,28.7456187068861
"hardCorals",1960,172,23,3998,16.3705196023304
"hardCorals",1970,137,22,3482,18.1997280326241
"hardCorals",1980,89,13,2984,13.684162570815
"hardCorals",1990,79,51,42165,11.5341674782261
"hardCorals",2000,129,64,121049,13.8019102875064
"hardCorals",2010,96,42,144203,13.7052407262665
"hardCorals",2020,32,25,21162,16.4789089113262
"mangroves",1990,1,1,2411,2.99241907874081
"mangroves",2000,2,2,9917,2.48813599884151
"mangroves",2010,14,10,25550,2.94307543564103
"mangroves",2020,2,2,1383,2.67601814948203
"marineMammals",1960,27,0,55,NA
"marineMammals",1970,69,4,672,1.99993372028974
"marineMammals",1980,152,11,3293,1.97935205497108
"marineMammals",1990,265,32,18248,2.26905151559541
"marineMammals",2000,309,49,79892,2.11961722488046
"marineMammals",2010,179,35,19166,1.43849078211813
"marineMammals",2020,82,12,2399,1
"seaTurtles",1960,11,4,516,1
"seaTurtles",1980,12,0,91,NA
"seaTurtles",1990,242,8,2555,2.75099403687072
"seaTurtles",2000,514,46,11173,1.99999941457409
"seaTurtles",2010,495,32,14216,2.99999998669656
"seaTurtles",2020,20,2,868,1.38129664559533
"seabirds",1960,1,0,1,NA
"seabirds",1970,38,1,459,12.4530600426827
"seabirds",1980,28,5,1093,12.190263021058
"seabirds",1990,122,33,5111,9.96894335805162
"seabirds",2000,134,0,793,NA
"seabirds",2010,252,37,269580,1.05117707267115
"seabirds",2020,22,1,128,22.7477593693015
"seagrasses",1990,2,1,211,1
"seagrasses",2000,19,7,2169,3.56819001602559
"seagrasses",2010,28,9,5732,2.9917546327582
"seagrasses",2020,15,11,4631,2
