"cell","value_from","value_to","delta","pct","n_from","n_to"
"834412fffffffff",1,1.18644188782727,0.186441887827267,18.6441887827267,108,996
"834413fffffffff",1.65943455954843,1.28283272973202,-0.376601829816411,-22.6945876021103,260,2439
"83441afffffffff",2,1.43849078211813,-0.561509217881866,-28.0754608940933,66,809
"83441efffffffff",1.97935205497108,1.80001933107103,-0.179332723900053,-9.06017317382543,748,530
"8344a1fffffffff",1.77302631578948,1.05388378054883,-0.719142535240657,-40.5601726740554,96,1831
"8344a8fffffffff",2.24319250631092,1.58492044669439,-0.658272059616528,-29.3453218020553,117,1172
"8344abfffffffff",3.63643515444266,2.33204877218981,-1.30438638225284,-35.8699200413148,125,782
"8344aefffffffff",3.37638533674337,1.46394899273028,-1.9124363440131,-56.6415309058799,69,751
"8344f0fffffffff",1.76697756353355,3.54480407283274,1.77782650929918,100.613983221379,131,244
"8344f6fffffffff",3.95782707543743,4.1081211557774,0.150294080339967,3.79738875588333,95,530
"834cf6fffffffff",1,1.10526315789477,0.105263157894768,10.5263157894768,517,475
