"group","place","n_cells","n_cells_occupied","n","sp","shannon","simpson","maxp","es","hill_1","hill_2","hill_inf"
"all taxa","Florida Keys",303,294,1314101,4133,4.48153104628687,0.0225489913919013,0.0609473701032112,33.0792099933388,88.3698675119914,44.3478815801563,16.407598856301
"all taxa","Flower Garden Banks",8,8,6744,338,3.69864374663112,0.0509292825994267,0.10008896797153,23.841147605816,40.3924847503101,19.6350694327522,9.99111111111111
"all taxa","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fish","Florida Keys",303,243,1249849,853,4.20143951106809,0.02489353101143,0.0640805409293443,31.7091536329167,66.7823958791588,40.1710789658906,15.6053614014059
"fish","Flower Garden Banks",8,6,282,62,3.49632087909934,0.04401187063025,0.0815602836879433,25.6415253500339,32.9938400568786,22.7211428571429,12.2608695652174
"fish","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hardCorals","Florida Keys",303,130,23162,80,2.97667222273022,0.0784123353937909,0.160651066401865,18.7158643548805,19.6224088676584,12.753095478893,6.22467078742274
"hardCorals","Flower Garden Banks",8,7,4839,37,2.63110194866417,0.0913041601054257,0.13949163050217,14.1795990026235,13.8890665108314,10.9524034703932,7.16888888888889
"hardCorals","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mangroves","Florida Keys",303,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mangroves","Flower Garden Banks",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mangroves","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"marineMammals","Florida Keys",303,51,776,5,0.728806681203495,0.504277819109363,0.573453608247423,2.37055526768151,2.07260585186071,1.98303387955108,1.7438202247191
"marineMammals","Flower Garden Banks",8,1,1,1,0,1,1,NA,1,1,1
"marineMammals","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seabirds","Florida Keys",303,33,48,9,1.46855125583717,0.357638888888889,0.5625,NA,4.34293877405307,2.79611650485437,1.77777777777778
"seabirds","Flower Garden Banks",8,1,1,1,0,1,1,NA,1,1,1
"seabirds","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seagrasses","Florida Keys",303,7,405,4,0.864568730159779,0.488553574150282,0.634567901234568,3.11281799885497,2.3739820383182,2.04685842640544,1.57587548638132
"seagrasses","Flower Garden Banks",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seagrasses","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seaTurtles","Florida Keys",303,71,164,5,0.940566639974007,0.489961332540155,0.646341463414634,4.30975833051607,2.56143241719177,2.04097738655335,1.54716981132075
"seaTurtles","Flower Garden Banks",8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seaTurtles","Gray's Reef",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
