"label","method","records"
"Seabirds","DwC rank column",23686770
"Bony fishes","DwC rank column",0
"Sharks & rays","DwC rank column",4001773
"Marine mammals","DwC rank column",4866582
"Sea turtles","DwC rank column",447735
"Corals & anemones","DwC rank column",0
"Mollusks","DwC rank column",10733645
"Crustaceans","DwC rank column",7669820
"Seabirds","AphiaID subtree",23744889
"Bony fishes","AphiaID subtree",45130960
"Sharks & rays","AphiaID subtree",4002304
"Marine mammals","AphiaID subtree",4866582
"Sea turtles","AphiaID subtree",447743
"Corals & anemones","AphiaID subtree",1999366
"Mollusks","AphiaID subtree",10739769
"Crustaceans","AphiaID subtree",7670453
