"label","rows","cold_s","warm_s","path","res"
"idx_h3 all-taxa ES50 res 3",36893,0.00499999999999545,0.0040000000000191,"idx_h3 all-taxa ES50",3
"idx_h3_eov fish ES50 res 3",21481,0.00499999999999545,0.00499999999999545,"idx_h3_eov fish ES50",3
"live subtree fish ES50 res 3",21481,1.23400000000004,1.06999999999994,"live subtree fish ES50",3
"SPUE 137092/2688 res 3",14973,0.370999999999981,0.367999999999938,"SPUE 137092/2688",3
"idx_h3 all-taxa ES50 res 5",657311,0.0219999999999345,0.0200000000000955,"idx_h3 all-taxa ES50",5
"idx_h3_eov fish ES50 res 5",170687,0.00999999999999091,0.00699999999994816,"idx_h3_eov fish ES50",5
"live subtree fish ES50 res 5",170687,2.43000000000006,2.33399999999995,"live subtree fish ES50",5
"SPUE 137092/2688 res 5",105334,0.729999999999905,0.711000000000013,"SPUE 137092/2688",5
"idx_h3 all-taxa ES50 res 7",3792953,0.106999999999971,0.105999999999995,"idx_h3 all-taxa ES50",7
"idx_h3_eov fish ES50 res 7",740349,0.0160000000000764,0.0149999999999864,"idx_h3_eov fish ES50",7
"live subtree fish ES50 res 7",740349,4.15500000000009,3.952,"live subtree fish ES50",7
"SPUE 137092/2688 res 7",340290,1.02599999999995,1.02200000000005,"SPUE 137092/2688",7
